Date,Ethereum,Bitcoin Cash ,Litecoin,Bitcoin
"Jul 22, 2017",229.48,,46.56,"2,810.12"
"Jul 21, 2017",218.3,,45.76,"2,667.76"
"Jul 20, 2017",227.26,,45.02,"2,817.60"
"Jul 19, 2017",199.7,,40.86,"2,273.43"
"Jul 18, 2017",234.39,,44.3,"2,318.88"
"Jul 17, 2017",193.42,,42.67,"2,228.41"
"Jul 16, 2017",157.36,,40.91,"1,929.82"
"Jul 15, 2017",170.65,,38.92,"1,998.86"
"Jul 14, 2017",199.66,,42.8,"2,233.34"
"Jul 13, 2017",209.73,,46.33,"2,357.90"
"Jul 12, 2017",230.77,,48.75,"2,398.84"
"Jul 11, 2017",197.4,,45.33,"2,337.79"
"Jul 10, 2017",215.36,,46.58,"2,372.56"
"Jul 09, 2017",242.14,,49.58,"2,518.44"
"Jul 08, 2017",251.7,,52.14,"2,571.34"
"Jul 07, 2017",245.99,,46.58,"2,518.66"
"Jul 06, 2017",270.55,,51.13,"2,608.56"
"Jul 05, 2017",268.77,,53.19,"2,601.99"
"Jul 04, 2017",273.3,,55.33,"2,601.64"
"Jul 03, 2017",282.9,,46.43,"2,564.06"
"Jul 02, 2017",287.99,,41.57,"2,506.47"
"Jul 01, 2017",274.6,,38.99,"2,434.55"
"Jun 30, 2017",294.92,,40.35,"2,480.84"
"Jun 29, 2017",302.88,,41.07,"2,539.32"
"Jun 28, 2017",327.93,,42.85,"2,574.79"
"Jun 27, 2017",293.09,,40.54,"2,552.45"
"Jun 26, 2017",272.69,,41.13,"2,478.45"
"Jun 25, 2017",303.25,,43.92,"2,589.41"
"Jun 24, 2017",323.7,,44.49,"2,608.72"
"Jun 23, 2017",341.74,,47.34,"2,744.91"
"Jun 22, 2017",336.37,,47.71,"2,705.41"
"Jun 21, 2017",336.87,,47.79,"2,689.10"
"Jun 20, 2017",359.01,,47.22,"2,721.79"
"Jun 19, 2017",370.06,,50.32,"2,589.60"
"Jun 18, 2017",371.46,,46.04,"2,548.29"
"Jun 17, 2017",379.41,,47.65,"2,655.88"
"Jun 16, 2017",370.23,,35.7,"2,518.56"
"Jun 15, 2017",361.93,,30.22,"2,464.58"
"Jun 14, 2017",359.05,,30.22,"2,506.37"
"Jun 13, 2017",397.54,,30.64,"2,717.02"
"Jun 12, 2017",401.49,,29.5,"2,659.63"
"Jun 11, 2017",340.61,,33.22,"2,958.11"
"Jun 10, 2017",337.67,,30.44,"2,947.71"
"Jun 09, 2017",281.74,,29.68,"2,823.81"
"Jun 08, 2017",261.67,,30.21,"2,805.62"
"Jun 07, 2017",258.07,,28.39,"2,732.16"
"Jun 06, 2017",264.47,,30.55,"2,863.20"
"Jun 05, 2017",248.46,,30.84,"2,686.81"
"Jun 04, 2017",245.33,,27.94,"2,511.81"
"Jun 03, 2017",224.38,,27.66,"2,515.35"
"Jun 02, 2017",223.77,,28.94,"2,488.55"
"Jun 01, 2017",222.24,,28.8,"2,407.88"
"May 31, 2017",230.67,,25.3,"2,286.41"
"May 30, 2017",231.91,,24.14,"2,175.47"
"May 29, 2017",194.91,,25.21,"2,255.61"
"May 28, 2017",170.51,,24.22,"2,155.80"
"May 27, 2017",157.76,,23.74,"2,038.87"
"May 26, 2017",160.4,,23.75,"2,202.42"
"May 25, 2017",174.45,,29.9,"2,304.98"
"May 24, 2017",190.05,,34.45,"2,443.64"
"May 23, 2017",181.95,,32.11,"2,320.42"
"May 22, 2017",174.26,,25.38,"2,173.40"
"May 21, 2017",157.94,,26.3,"2,041.20"
"May 20, 2017",126.52,,27.51,"2,084.73"
"May 19, 2017",129.53,,27.7,"1,987.71"
"May 18, 2017",96.91,,28.36,"1,888.65"
"May 17, 2017",89.86,,25.4,"1,839.09"
"May 16, 2017",89.44,,23.33,"1,734.45"
"May 15, 2017",92.41,,25.37,"1,738.43"
"May 14, 2017",90.79,,28.89,"1,808.91"
"May 13, 2017",90.84,,28.91,"1,804.91"
"May 12, 2017",88.66,,27.45,"1,724.24"
"May 11, 2017",89.88,,30.72,"1,848.57"
"May 10, 2017",89.52,,31.96,"1,787.13"
"May 09, 2017",91.16,,33.58,"1,755.36"
"May 08, 2017",91.42,,28.96,"1,723.35"
"May 07, 2017",94.01,,30.29,"1,596.71"
"May 06, 2017",97.81,,28.16,"1,578.80"
"May 05, 2017",94.4,,26.27,"1,555.45"
"May 04, 2017",96.98,,23.39,"1,537.67"
"May 03, 2017",79.72,,21.04,"1,490.09"
"May 02, 2017",77.26,,15.9,"1,452.82"
"May 01, 2017",76.3,,15.92,"1,421.60"
"Apr 30, 2017",79.02,,15.71,"1,347.89"
"Apr 29, 2017",68.38,,15.74,"1,321.79"
"Apr 28, 2017",70.16,,14.34,"1,316.48"
"Apr 27, 2017",62.17,,14.62,"1,317.73"
"Apr 26, 2017",52.72,,14.85,"1,281.08"
"Apr 25, 2017",49.89,,15.21,"1,265.49"
"Apr 24, 2017",50.03,,14.97,"1,250.15"
"Apr 23, 2017",48.49,,13.94,"1,207.21"
"Apr 22, 2017",48.55,,13.06,"1,231.71"
"Apr 21, 2017",48.22,,11.23,"1,222.05"
"Apr 20, 2017",49.67,,10.33,"1,229.08"
"Apr 19, 2017",48.31,,9.66,"1,210.29"
"Apr 18, 2017",50.71,,10.32,"1,211.67"
"Apr 17, 2017",48.3,,10.42,"1,193.91"
"Apr 16, 2017",48.72,,10.71,"1,182.94"
"Apr 15, 2017",49.1,,10.79,"1,172.52"
"Apr 14, 2017",47.57,,10.39,"1,167.54"
"Apr 13, 2017",50.22,,10.15,"1,169.28"
"Apr 12, 2017",46.29,,10.79,"1,200.37"
"Apr 11, 2017",43.41,,8.85,"1,205.01"
"Apr 10, 2017",43.44,,8.92,"1,187.13"
"Apr 09, 2017",43.27,,8.71,"1,187.87"
"Apr 08, 2017",44.31,,9.92,"1,175.95"
"Apr 07, 2017",42.16,,9.37,"1,176.90"
"Apr 06, 2017",43.24,,10.25,"1,182.68"
"Apr 05, 2017",45.3,,11.09,"1,124.78"
"Apr 04, 2017",44.64,,8.29,"1,133.25"
"Apr 03, 2017",44.36,,8.07,"1,143.81"
"Apr 02, 2017",48.75,,7.74,"1,102.17"
"Apr 01, 2017",50.7,,6.88,"1,080.50"
"Mar 31, 2017",50.04,,6.67,"1,071.79"
"Mar 30, 2017",52.21,,6.98,"1,026.43"
"Mar 29, 2017",53.13,,4.19,"1,039.97"
"Mar 28, 2017",50.77,,4.16,"1,047.15"
"Mar 27, 2017",49.67,,4.08,"1,045.77"
"Mar 26, 2017",50.52,,4.06,966.72
"Mar 25, 2017",51.25,,4.07,972.78
"Mar 24, 2017",53.11,,4.08,937.52
"Mar 23, 2017",43.68,,3.98,"1,038.59"
"Mar 22, 2017",42.34,,3.94,"1,049.14"
"Mar 21, 2017",43.15,,4.01,"1,120.54"
"Mar 20, 2017",43.39,,4.03,"1,054.23"
"Mar 19, 2017",44.74,,3.96,"1,036.74"
"Mar 18, 2017",34.16,,3.97,973.82
"Mar 17, 2017",46.83,,4.06,"1,100.23"
"Mar 16, 2017",46.35,,4.24,"1,187.81"
"Mar 15, 2017",35.06,,4.16,"1,249.61"
"Mar 14, 2017",28.65,,4.06,"1,240.00"
"Mar 13, 2017",28.59,,4.17,"1,231.92"
"Mar 12, 2017",23.44,,3.84,"1,221.38"
"Mar 11, 2017",21.47,,3.8,"1,175.83"
"Mar 10, 2017",19.33,,3.75,"1,116.72"
"Mar 09, 2017",17.75,,3.84,"1,188.49"
"Mar 08, 2017",16.65,,3.78,"1,150.00"
"Mar 07, 2017",18.89,,3.82,"1,223.54"
"Mar 06, 2017",19.61,,3.92,"1,272.83"
"Mar 05, 2017",19.3,,3.9,"1,267.12"
"Mar 04, 2017",18.62,,3.88,"1,255.15"
"Mar 03, 2017",19.46,,3.92,"1,274.99"
"Mar 02, 2017",19.03,,3.92,"1,251.01"
"Mar 01, 2017",17.35,,3.8,"1,222.50"
"Feb 28, 2017",15.82,,3.77,"1,179.97"
"Feb 27, 2017",15.4,,3.8,"1,179.97"
