Date,Ethereum,Bitcoin Cash,Litecoin,Bitcoin
"July 23, 2017",225.95,413.06,44.06,2730.4
"July 24, 2017",224.71,440.7,44.41,2754.86
"July 25, 2017",206.71,406.9,42.24,2576.48
"July 26, 2017",203.95,365.82,42.23,2529.45
"July 27, 2017",204.32,385.48,42.14,2671.78
"July 28, 2017",193.12,406.05,40.61,2809.01
"July 29, 2017",205.79,384.77,41.12,2726.45
"July 30, 2017",197.98,345.66,40.42,2757.18
"July 31, 2017",203.87,294.46,43.02,2875.34
"August 1, 2017",226.77,380.01,43.04,2718.26
"August 2, 2017",219.95,452.66,42.13,2710.67
"August 3, 2017",225.34,364.05,42.86,2804.73
"August 4, 2017",223.07,233.05,43.45,2895.89
"August 5, 2017",256.51,213.15,46.86,3252.91
"August 6, 2017",261.57,220.66,45.1,3213.94
"August 7, 2017",269.18,319.69,45.8,3378.94
"August 8, 2017",296.77,345.49,48.63,3419.94
"August 9, 2017",296.03,303.89,48.01,3342.47
"August 10, 2017",295.89,275.95,46.5,3381.28
"August 11, 2017",308.86,328.24,47.1,3650.62
"August 12, 2017",310.6,317.09,46.43,3884.71
"August 13, 2017",298.06,298.05,45.81,4073.26
"August 14, 2017",300.1,297.68,45.8,4325.13
"August 15, 2017",289.82,297.86,43.31,4181.93
"August 16, 2017",302.27,300.21,44.15,4376.63
"August 17, 2017",301.46,460.53,43.91,4331.69
"August 18, 2017",295.59,690.24,47.28,4160.62
"August 19, 2017",297.47,754.56,45.48,4193.7
"August 20, 2017",301.43,712.87,46.23,4087.66
"August 21, 2017",321.59,599.64,47.94,4001.74
"August 22, 2017",314.79,690.88,46.73,4100.52
"August 23, 2017",317.52,669.4,53.25,4151.52
"August 24, 2017",325.61,628.11,50.19,4334.68
"August 25, 2017",331.92,641.05,51.18,4371.6
"August 26, 2017",333.88,625.32,51.75,4352.4
"August 27, 2017",347.89,620.9,61.16,4382.88
"August 28, 2017",347.75,596.18,62.36,4382.66
"August 29, 2017",370.67,552.93,63.17,4579.02
"August 30, 2017",378.48,575.21,64.17,4565.3
"August 31, 2017",383.04,588.17,71.06,4703.39
"September 1, 2017",387.74,622.17,86.04,4892.01
"September 2, 2017",348.98,575.9,79.02,4578.77
"September 3, 2017",347.48,607.43,76.84,4582.96
"September 4, 2017",295.17,517.24,65.21,4236.31
"September 5, 2017",312.99,541.71,71.29,4376.53
"September 6, 2017",334.34,638.18,80.11,4597.12
"September 7, 2017",329.43,652.85,78.48,4599.88
"September 8, 2017",296.5,583.1,67.79,4228.75
"September 9, 2017",294.4,547.47,66.01,4226.06
"September 10, 2017",288.75,537.07,61.61,4122.94
"September 11, 2017",294.53,537.81,66.04,4161.27
"September 12, 2017",291.46,510.41,64.23,4130.81
"September 13, 2017",277.11,503.61,61.73,3882.59
"September 14, 2017",213.91,367.04,41.58,3154.95
"September 15, 2017",250.46,424.02,48.21,3637.52
"September 16, 2017",246.52,440.22,48.26,3625.04
"September 17, 2017",251.75,419.86,48.49,3582.88
"September 18, 2017",293.5,479.32,55.53,4065.2
"September 19, 2017",282.8,527.88,52.84,3924.97
"September 20, 2017",283.74,476.05,51.73,3905.95
"September 21, 2017",258.58,416.26,46.61,3631.04
"September 22, 2017",264.31,415.09,48.09,3630.7
"September 23, 2017",286.17,428.5,49.27,3792.4
"September 24, 2017",282.48,421.03,47.62,3682.84
"September 25, 2017",292.33,445.8,51.58,3926.07
"September 26, 2017",287.44,441.83,51.55,3892.35
"September 27, 2017",306.47,457.31,56.28,4200.67
"September 28, 2017",299.15,447.81,54.09,4174.73
"September 29, 2017",291.47,436.77,52.62,4163.07
"September 30, 2017",301.46,432.63,55.14,4338.71
"October 1, 2017",302.34,415.15,54.54,4403.74
"October 2, 2017",297.48,421.19,53.38,4409.32
"October 3, 2017",292.46,404.18,52.35,4317.48
"October 4, 2017",292.66,358.45,51.4,4229.36
"October 5, 2017",295.86,355.75,51.67,4328.41
"October 6, 2017",308.59,363.01,52.12,4370.81
"October 7, 2017",311.12,360.78,52.58,4426.89
"October 8, 2017",308.61,342.21,53.14,4610.48
"October 9, 2017",297.39,314.16,50.16,4772.02
"October 10, 2017",299.87,321.59,50.72,4781.99
"October 11, 2017",303.46,314.9,50.89,4826.48
"October 12, 2017",304.14,313.21,60.11,5446.91
"October 13, 2017",338.76,321.46,59.43,5647.21
"October 14, 2017",339.63,321.96,63.95,5831.79
"October 15, 2017",336.6,314.95,65.47,5678.19
"October 16, 2017",333.38,313.64,64.62,5725.59
"October 17, 2017",317.08,371.73,59.48,5605.51
"October 18, 2017",314.32,339.17,60.73,5590.69
"October 19, 2017",308.09,330.81,59.74,5708.52
"October 20, 2017",304.01,327.44,60.33,6011.45
"October 21, 2017",300.19,323.36,58.2,6031.6
"October 22, 2017",295.45,331.66,56.81,6008.42
"October 23, 2017",286.95,315.6,54.92,5930.32
"October 24, 2017",298.33,326.89,55.96,5526.64
"October 25, 2017",297.92,332.13,56.49,5750.8
"October 26, 2017",296.53,338.2,55.74,5904.83
"October 27, 2017",297.42,367.57,55.33,5780.9
"October 28, 2017",296.3,423.35,54.69,5753.09
"October 29, 2017",305.09,451.92,57.11,6153.85
"October 30, 2017",307.75,448.23,56.39,6130.53
"October 31, 2017",305.88,439.05,55.75,6468.4
"November 1, 2017",291.69,531.83,53.18,6767.31
"November 2, 2017",287.43,587.22,54.74,7078.5
"November 3, 2017",305.71,625.32,56.18,7207.76
"November 4, 2017",300.47,620.45,55.04,7379.95
"November 5, 2017",296.26,630.7,54.75,7407.41
"November 6, 2017",298.89,602.65,55.17,7022.76
"November 7, 2017",294.66,616.3,61.3,7144.38
"November 8, 2017",309.07,622.46,62.57,7459.69
"November 9, 2017",320.88,654.3,64.27,7143.58
"November 10, 2017",299.25,1007.42,59.26,6618.14
"November 11, 2017",314.68,1340.45,62.3,6357.6
"November 12, 2017",307.91,1388.86,59.01,5950.07
"November 13, 2017",316.72,1353.99,61.4,6559.49
"November 14, 2017",337.63,1273.53,62.68,6635.75
"November 15, 2017",333.36,1212.4,63.82,7315.54
"November 16, 2017",330.92,900.78,71.06,7871.69
"November 17, 2017",332.39,1185.48,67.57,7708.99
"November 18, 2017",347.61,1254.53,69.64,7790.15
"November 19, 2017",354.39,1172.05,71.59,8036.49
"November 20, 2017",366.73,1236.01,72.25,8200.64
"November 21, 2017",360.4,1176.97,70.03,8071.26
"November 22, 2017",380.65,1303.31,71.89,8253.55
"November 23, 2017",410.17,1683.81,73.22,8038.77
"November 24, 2017",474.91,1648.51,77.97,8253.69
"November 25, 2017",466.28,1571.27,88.82,8790.92
"November 26, 2017",471.33,1735.66,85.93,9330.55
"November 27, 2017",480.36,1622.57,91.6,9818.35
"November 28, 2017",472.9,1546.18,96.03,10058.8
"November 29, 2017",427.52,1359.71,85.57,9888.61
"November 30, 2017",447.11,1389.78,88.33,10233.6
"December 1, 2017",466.54,1462.68,99,10975.6
"December 2, 2017",463.45,1434.98,100.28,11074.6
"December 3, 2017",465.85,1559.93,101.26,11323.2
"December 4, 2017",470.2,1576.92,104.24,11657.2
"December 5, 2017",463.28,1501.85,102.4,11916.7
"December 6, 2017",428.59,1430.1,100.35,14291.5
"December 7, 2017",434.41,1330.93,98.29,17899.7
"December 8, 2017",456.03,1464.13,124.85,16569.4
"December 9, 2017",473.5,1410.06,155.24,15178.2
"December 10, 2017",441.72,1323.07,148.66,15455.4
"December 11, 2017",515.14,1423.38,214.2,16936.8
"December 12, 2017",651.43,1615.03,316.16,17415.4
"December 13, 2017",702.77,1607.65,302.6,16408.2
"December 14, 2017",695.82,1966.14,279.33,16564
"December 15, 2017",684.45,1815.43,299.78,17706.9
"December 16, 2017",696.21,1801.88,298.97,19497.4
"December 17, 2017",719.97,1862.88,318.72,19140.8
"December 18, 2017",794.65,2196.64,358.34,19114.2
"December 19, 2017",826.82,2805.89,350.25,17776.7
"December 20, 2017",819.09,3923.07,314.62,16624.6
"December 21, 2017",821.06,3267.17,317.46,15802.9
"December 22, 2017",674.86,2696.69,264.93,13831.8
"December 23, 2017",719.39,3257.08,288.27,14699.2
"December 24, 2017",694.15,2903.12,275.98,13925.8
"December 25, 2017",765.83,2954.69,273.39,14026.6
"December 26, 2017",773.84,3108.89,286.5,16099.8
"December 27, 2017",762.84,2889.52,272.17,15838.5
"December 28, 2017",737.02,2566.64,249.93,14606.5
"December 29, 2017",753.59,2779.95,245.5,14656.2
"December 30, 2017",717.26,2392.41,218.96,12952.2
"December 31, 2017",756.73,2533.01,232.1,14156.4
"January 1, 2018",772.64,2432.54,229.03,13657.2
"January 2, 2018",884.44,2711,255.68,14982.1
"January 3, 2018",962.72,2608.69,245.37,15201
"January 4, 2018",980.92,2430.18,241.37,15599.2
"January 5, 2018",997.72,2584.48,249.27,17429.5
"January 6, 2018",1041.68,2786.65,296.45,17527
"January 7, 2018",1153.17,2786.88,288.45,16477.6
"January 8, 2018",1148.53,2421.47,255.76,15170.1
"January 9, 2018",1299.74,2391.56,247.04,14595.4
"January 10, 2018",1255.82,2895.38,250.52,14973.3
"January 11, 2018",1154.93,2462.61,229.37,13405.8
"January 12, 2018",1273.2,2620.99,236.86,13980.6
"January 13, 2018",1396.42,2685.29,259.19,14360.2
"January 14, 2018",1366.77,2553.32,238.68,13772
"January 15, 2018",1291.92,2401.54,232.77,13819.8
"January 16, 2018",1053.69,1772.07,188.33,11490.5
"January 17, 2018",1014.25,1748.05,186.52,11188.6
"January 18, 2018",1036.28,1756.75,192.84,11474.9
"January 19, 2018",1039.1,1769.62,192.96,11607.4
"January 20, 2018",1155.15,2032.12,211.02,12899.2
"January 21, 2018",1049.58,1776.64,190.42,11600.1
"January 22, 2018",1003.26,1621.92,180.01,10931.4
"January 23, 2018",986.23,1621.46,177.81,10868.4
"January 24, 2018",1058.78,1639.13,179.99,11359.4
"January 25, 2018",1056.03,1642.12,180.27,11259.4
"January 26, 2018",1055.17,1603.9,176.73,11171.4
"January 27, 2018",1107.07,1628.63,180.89,11440.7
"January 28, 2018",1246.01,1746.25,193.87,11786.3
"January 29, 2018",1182.36,1657.14,181.66,11296.4
"January 30, 2018",1071.13,1470.55,165.28,10106.3
"January 31, 2018",1118.31,1486.89,163.35,10221.1
"February 1, 2018",1036.79,1274.35,142.3,9170.54
"February 2, 2018",915.78,1191.14,131.38,8830.75
"February 3, 2018",964.02,1272.5,160.25,9174.91
"February 4, 2018",834.68,1165.38,148.02,8277.01
"February 5, 2018",697.95,887.41,125.33,6955.27
"February 6, 2018",793.12,974.53,142.99,7754
"February 7, 2018",757.07,957.96,138.2,7621.3
